Stadt,Regionalschlüssel,Regionalschlüssel truncated,Einwohner laut ZENSUS 2022,Durchschnittsalter,BIP Pro Erwerbstätiger Person in Euro,Verfügbares Einkommen pro Person in Euro,Übernachtungen je EW,WahlbeteiligungBTW2025
Berlin,11000000,11000,3 685 265,42.8,52518,23952,8.3,80.3
Hamburg,2000000,2000,1 862 565,42.2,80866,27498,8.6,80.9
München,9162000,9162,1 505 005,41.7,97406,35467,13.2,84.3
Köln,5315000,5315,1 024 621,42.5,73092,25657,6.9,83.1
Frankfurt am Main,6412000,6412, 756 021,41.1,115364,25394,14.8,81.2
Düsseldorf,5111000,5111, 618 685,43.1,100414,29355,9,82
Stuttgart,8111000,8111, 612 663,45.8,112183,29202,7.6,82.9
Leipzig,14713000,14713, 611 850,42.3,46947,21460,6.3,83
Dortmund,5913000,5913, 603 462,43.3,49663,21921,2.6,80.1
Bremen,4011000,4011, 586 271,43.1,61548,24562,4.3,79.1
Essen,5113000,5113, 574 682,44,54085,23503,3.2,80.1
Dresden,14612000,14612, 564 904,43.6,50653,23319,8.2,83.2
Nürnberg,9564000,9564, 529 508,43.4,72742,24891,7.3,79.3
Hannover,3241000,3241, 522 131,2222222222,55518,24094,3.5,83.8
Duisburg,5112000,5112, 502 270,43.2,40198,19325,1.2,76.5
Bochum,5911000,5911, 358 676,44.5,43377,22419,2.2,81.3
Wuppertal,5124000,5124, 358 193,43.7,40162,22829,1.8,78.9
Bielefeld,5711000,5711, 331 605,43,53045,24699,1.9,81.8
Bonn,5314000,5314, 323 336,42.5,84138,25852,5.1,84.9
Mannheim,8222000,8222, 318 035,42.5,79474,25166,5.3,78.4
Karlsruhe,8212000,8212, 309 050,43,82311,26104,4.2,83.1
Münster,5515000,5515, 308 258,41.8,66864,26079,6.2,87.5
Augsburg,9761000,9761, 301 105,42.8,54973,23063,4,79.4
Wiesbaden,6414000,6414, 288 850,43.2,72915,26369,4.7,79.7
Gelsenkirchen,5513000,5513, 267 930,42.7,39065,18522,1.3,74.5
Mönchengladbach,5116000,5116, 267 213,44.1,40556,23511,1.4,77.3
Aachen,5334000,5334, 262 670,44.4,46266,23201,3,82.1
Braunschweig,3101000,3101, 252 962,44.2,85091,25180,2.8,83.4
Kiel,1002000,1002, 252 668,42.6,58588,22476,4.3,82.5
Chemnitz,14511000,14511, 245 618,46.7,43283,22910,2,79.1
Magdeburg,15003000,15003, 244 329,45.1,43227,21865,3.2,78.6
Freiburg im Breisgau,8311000,8311, 237 460,41,62242,25292,9.2,85.7
Krefeld,5114000,5114, 231 406,44.8,48155,23914,1.2,78.7
Halle (Saale),15002000,15002, 226 767,44.7,38101,20632,1.9,76.1
Mainz,7315000,7315, 224 684,45.8,87843,24690,5.2,85.6
Erfurt,16051000,16051, 218 793,44.9,50554,22527,4.9,81.8
Lübeck,1003000,1003, 216 889,45.5,57499,23265,10.5,79.5
Oberhausen,5119000,5119, 213 646,44.8,35450,21257,2.8,79.4
Rostock,13003000,13003, 205 307,46,49315,22025,10.9,79.3
Kassel,6611000,6611, 197 230,42.9,64499,22142,4.7,79.8
Hagen,5914000,5914, 190 384,43.8,39289,21488,1.5,76.8
Potsdam,12054000,12054, 184 754,43.4,51041,24002,7.7,85.3
Saarbrücken,10041010,10041, 182 971,2222222222,51326,22598,2.4,80.2
Hamm,5915000,5915, 179 968,43.9,36600,21230,1.1,79
Ludwigshafen am Rhein,7314000,7314, 177 222,45.8,79044,22138,1.9,74.6
Oldenburg (Oldenburg),3403000,3403, 176 614,43.2,57058,22970,2.2,84.3
Mülheim an der Ruhr,5117000,5117, 173 050,45.5,45776,25874,1,83.4
Leverkusen,5316000,5316, 168 581,44.4,55377,24477,1.2,81.2
Darmstadt,6411000,6411, 167 029,41,92890,25604,4.7,84.7
Osnabrück,3404000,3404, 166 057,42.4,61227,23851,3.1,82.7
Solingen,5122000,5122, 165 626,45,34249,25530,0.6,80.1
Paderborn,5774003,5774, 156 378,46.4,44711,25097,3.4,83.1
Herne,5916000,5916, 155 851,44.3,33883,20282,0.5,76.1
Heidelberg,8221000,8221, 155 756,40,66732,26184,11.8,85.5
Neuss,5162002,5162, 154 317,46.5,47346,27956,2,83.9
Regensburg,9362000,9362, 151 389,41.5,101372,26174,9.1,82.4
Ingolstadt,9161000,9161, 141 185,42,156231,26336,4.6,76
Pforzheim,8231000,8231, 134 912,42.6,50035,23895,1.8,75.7
Würzburg,9663000,9663, 133 258,42.9,78232,25974,8.1,83.7
Offenbach am Main,6413000,6413, 132 746,41,48882,20277,4.7,75.2
Fürth,9563000,9563, 132 036,43.6,46622,25568,2.5,80.3
Heilbronn,8121000,8121, 131 986,45.8,67306,24862,4.2,76.9
Ulm,8421000,8421, 129 882,42.3,98585,30216,6.6,83.5
Wolfsburg,3103000,3103, 129 560,44.1,183020,26669,4.8,80.3
Göttingen,3159002,3159, 127 259,49.8,42968,23868,5.9,83.1
Reutlingen,8415006,8415, 118 852,44.7,49262,27276,4,83.6
